dataset,method,subset,n,mean_entropy,median_entropy,std_entropy,mean_confidence,median_confidence,std_confidence
dtd,ent_tda,all,1880,1.6474181256534413,1.7775377035140991,0.9924800008202047,0.5712137718982202,0.5495206415653229,0.2871365349202797
dtd,ent_tda,correct,872,1.1598089129424765,0.9434480965137482,0.9618217964374779,0.7131921259959767,0.7927795350551605,0.26737998286741377
dtd,ent_tda,wrong,1008,2.069238793792292,2.260709285736084,0.8082275634668961,0.44839122748031973,0.38430140912532806,0.24372341564683722
dtd,hybrid,all,1880,1.6289571122335396,1.7601407170295715,0.96937043967982,0.5609557274610121,0.5220579206943512,0.2846133332663267
dtd,hybrid,correct,842,1.1112852741071966,0.928995281457901,0.9216340385084325,0.7149954216550337,0.7946966588497162,0.26278472154489085
dtd,hybrid,wrong,1038,2.048879740077837,2.252233386039734,0.786884051756383,0.4360025265830101,0.3629402667284012,0.23629722663827424
eurosat,clip,all,8100,1.496071153148135,1.6708946824073792,0.5848020042746022,0.46275175048613254,0.3872225880622864,0.2353956118612955
eurosat,clip,correct,3923,1.1632628436370063,1.1710331439971924,0.585100341980416,0.5989448770390704,0.5840732455253601,0.23891911434542404
eurosat,clip,wrong,4177,1.8086416578673492,1.9414043426513672,0.3740844831196415,0.33484041807838166,0.29262322187423706,0.14163163148605
eurosat,tda,all,8100,0.8862202307528864,0.8771048486232758,0.5564590492381193,0.6965647426873077,0.7195070087909698,0.22416831514186802
eurosat,tda,correct,5034,0.6976861381130836,0.6361845135688782,0.5190329656703899,0.7751462541440672,0.8301848471164703,0.2008595994957555
eurosat,tda,wrong,3066,1.1957703358894707,1.2188206315040588,0.4706938086099208,0.5675434352269922,0.5391376614570618,0.19932912473252018
eurosat,freetta,all,8100,0.673865548494088,0.6795502305030823,0.5325337155822636,0.7388896129289527,0.7680649161338806,0.23178438776245594
eurosat,freetta,correct,4839,0.4750924816488726,0.27533936500549316,0.48688028662329835,0.8220954470353374,0.9417204260826111,0.2093775176165995
eurosat,freetta,wrong,3261,0.968825030390438,0.9927946329116821,0.45499606441608503,0.6154204221160746,0.5850052833557129,0.20706145839491724
eurosat,conf_ftta,all,8100,0.743778002319367,0.730508416891098,0.5323068150635951,0.7182781231660902,0.7401896417140961,0.231376344787468
eurosat,conf_ftta,correct,4750,0.5318864203650953,0.4175710529088974,0.4787144093682263,0.8055113535931235,0.9007297158241272,0.20657020215029584
eurosat,conf_ftta,wrong,3350,1.044221290164976,1.0716581344604492,0.4541472216566237,0.5945892143516398,0.5623972415924072,0.20700272674893525
eurosat,ent_tda,all,8100,0.8841567463676854,0.8710121214389801,0.558718926622617,0.6976329280178488,0.7195298373699188,0.22434723126238992
eurosat,ent_tda,correct,5043,0.696430233835657,0.6312856674194336,0.5205088032319694,0.7756847103578619,0.8304473757743835,0.20097737443182007
eurosat,ent_tda,wrong,3057,1.193841012870472,1.221463680267334,0.4755566564801266,0.568874295914255,0.542687177658081,0.20025051569452426
eurosat,hybrid,all,8100,0.7863961569588225,0.7700545191764832,0.5267067880303091,0.7177274435850574,0.7486977875232697,0.22349612599759297
eurosat,hybrid,correct,4986,0.587452325085945,0.4725426882505417,0.48025829033217027,0.8006732719660857,0.8815511763095856,0.2004468746689405
eurosat,hybrid,wrong,3114,1.1049362808246437,1.1244917511940002,0.43297798222368267,0.5849182270443355,0.5690835118293762,0.19220319066207012
imagenet,clip,all,10000,1.3806707340184512,1.137983798980713,1.111406859123661,0.6499934130262583,0.6796844005584717,0.2681636808478981
imagenet,clip,correct,6235,0.976510034062988,0.7368396520614624,0.9021543565816387,0.7578846902252677,0.835709273815155,0.22832424427188816
imagenet,clip,wrong,3765,2.0499780286326112,1.8745248317718506,1.1020465973983,0.4713208729636226,0.44800782203674316,0.23122902642749937
imagenet,tda,all,10000,1.143310097273353,0.7867899239063263,1.1101382714349273,0.726995772334747,0.8065916299819946,0.259833396125807
imagenet,tda,correct,6289,0.7394171608431385,0.4106605648994446,0.8504542946701158,0.8275670829321019,0.9217436909675598,0.2049490174695096
imagenet,tda,wrong,3711,1.8277840065187367,1.630593180656433,1.1620129589519705,0.5565584313628351,0.5596786737442017,0.25407436390255916
imagenet,freetta,all,10000,1.2138215385666553,0.9734847247600555,1.0278866620182614,0.6762275899026543,0.7143211364746094,0.2633604362992831
imagenet,freetta,correct,6268,0.8385110346104246,0.6071772277355194,0.8161028596965163,0.7806612311962852,0.8648774027824402,0.22050280689486282
imagenet,freetta,wrong,3732,1.844166189905791,1.6777927875518799,1.0385292576798946,0.5008283231211756,0.4805159419775009,0.23474454607805462
imagenet,conf_ftta,all,10000,1.2124729865779584,0.9684506952762604,1.0295885758971222,0.6766793168902397,0.7163713276386261,0.2634588036864004
imagenet,conf_ftta,correct,6254,0.8345030729610721,0.6000472009181976,0.8155788404986989,0.7817570440724926,0.8657140135765076,0.22020989998908402
imagenet,conf_ftta,wrong,3746,1.8434991050403202,1.6799392700195312,1.0404873191229445,0.5012505646751277,0.48019108176231384,0.23478665260365064
imagenet,ent_tda,all,10000,1.1343315937209881,0.8026478588581085,1.0877014132563236,0.7271141481205821,0.8082016706466675,0.2581675489578425
imagenet,ent_tda,correct,6298,0.7466998899434804,0.4367247521877289,0.8443336229200625,0.8250595943327365,0.9168731272220612,0.20592995337984618
imagenet,ent_tda,wrong,3702,1.7937871502825073,1.592635989189148,1.136882918053657,0.5604851853317792,0.5587933659553528,0.25260348779464253
imagenet,hybrid,all,10000,1.2678139454567572,1.0236672759056091,1.065352689067463,0.6691275029901416,0.7061223685741425,0.2657396302314547
imagenet,hybrid,correct,6250,0.8786525654631481,0.632548451423645,0.8506824115079997,0.775623267108202,0.8579581379890442,0.2227225926146618
imagenet,hybrid,wrong,3750,1.9164162454461058,1.739857256412506,1.0711707398191002,0.4916345627933741,0.46941815316677094,0.23501466051070907
pets,clip,all,3669,0.488658928560303,0.31732165813446045,0.4702610158846758,0.837535934910101,0.9304736256599426,0.1908539459570987
pets,clip,correct,3243,0.4040475178674738,0.24943287670612335,0.40328785587199467,0.8750047872978487,0.9505687952041626,0.15890202936331677
pets,clip,wrong,426,1.1327781888345878,1.0634205341339111,0.4439937635715116,0.55229769947943,0.5352961719036102,0.1716138938916224
pets,tda,all,3669,0.39988795698020385,0.206228569149971,0.4482169382681942,0.8661762514956546,0.9587088823318481,0.1799490117516413
pets,tda,correct,3289,0.32772574655678033,0.16032809019088745,0.3871301970345369,0.8976706132251973,0.9698960781097412,0.15022998000164028
pets,tda,wrong,380,1.0244708782503087,0.9743554592132568,0.45540045281449193,0.5935842627365339,0.5752564966678619,0.1855283766226318
