dataset,stream_step,progress_ratio,rolling_tda_vs_clip,rolling_freetta_vs_clip,rolling_freetta_vs_tda
dtd,88,0.04680851063829787,,,
dtd,89,0.04734042553191489,,,
dtd,90,0.047872340425531915,,,
dtd,91,0.04840425531914894,,,
dtd,92,0.04893617021276596,,,
dtd,93,0.04946808510638298,,,
dtd,94,0.05,0.0,0.03191489361702127,0.03191489361702127
dtd,95,0.05053191489361702,0.0,0.03191489361702127,0.03191489361702127
dtd,96,0.05106382978723404,0.0,0.031914893617021295,0.031914893617021295
dtd,97,0.05159574468085106,0.0,0.03191489361702127,0.03191489361702127
dtd,98,0.052127659574468084,0.0,0.031914893617021295,0.031914893617021295
dtd,99,0.052659574468085106,0.0,0.03191489361702127,0.03191489361702127
dtd,100,0.05319148936170213,0.0,0.03191489361702127,0.03191489361702127
dtd,101,0.05372340425531915,0.0,0.03191489361702127,0.03191489361702127
dtd,102,0.05425531914893617,0.0,0.03191489361702127,0.03191489361702127
dtd,103,0.054787234042553194,0.0,0.03191489361702127,0.03191489361702127
dtd,104,0.05531914893617021,0.0,0.03191489361702127,0.03191489361702127
dtd,105,0.05585106382978723,0.0,0.03191489361702127,0.03191489361702127
dtd,106,0.05638297872340425,0.0,0.03191489361702127,0.03191489361702127
dtd,107,0.056914893617021275,0.0,0.031914893617021295,0.031914893617021295
dtd,108,0.0574468085106383,0.0,0.031914893617021295,0.031914893617021295
dtd,109,0.05797872340425532,0.0,0.03191489361702127,0.03191489361702127
dtd,110,0.05851063829787234,0.0,0.03191489361702127,0.03191489361702127
dtd,111,0.059042553191489364,0.0,0.03191489361702127,0.03191489361702127
dtd,112,0.059574468085106386,0.0,0.03191489361702127,0.03191489361702127
dtd,113,0.0601063829787234,0.0,0.03191489361702127,0.03191489361702127
dtd,114,0.06063829787234042,0.0,0.03191489361702127,0.03191489361702127
dtd,115,0.061170212765957445,0.0,0.03191489361702127,0.03191489361702127
dtd,116,0.06170212765957447,0.0,0.03191489361702127,0.03191489361702127
dtd,117,0.06223404255319149,0.0,0.031914893617021295,0.031914893617021295
dtd,118,0.0627659574468085,0.0,0.031914893617021295,0.031914893617021295
dtd,119,0.06329787234042553,0.0,0.031914893617021295,0.031914893617021295
dtd,120,0.06382978723404255,0.0,0.031914893617021295,0.031914893617021295
dtd,121,0.06436170212765957,0.0,0.03191489361702127,0.03191489361702127
dtd,122,0.06489361702127659,0.0,0.03191489361702127,0.03191489361702127
dtd,123,0.06542553191489361,0.0,0.03191489361702127,0.03191489361702127
dtd,124,0.06595744680851064,0.0,0.03191489361702127,0.03191489361702127
dtd,125,0.06648936170212766,0.0,0.031914893617021295,0.031914893617021295
dtd,126,0.06702127659574468,0.0,0.03191489361702132,0.03191489361702132
dtd,127,0.0675531914893617,0.0,0.03191489361702127,0.03191489361702127
dtd,128,0.06808510638297872,0.0,0.03191489361702127,0.03191489361702127
dtd,129,0.06861702127659575,0.0,0.03191489361702127,0.03191489361702127
dtd,130,0.06914893617021277,0.0,0.03191489361702127,0.03191489361702127
dtd,131,0.06968085106382979,0.0,0.03191489361702127,0.03191489361702127
dtd,132,0.07021276595744681,0.0,0.03191489361702127,0.03191489361702127
